number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
0,912.94,2026-06-02 21:04:55.398407,2026-06-02 21:05:11.803470,0 days 00:00:16.405063,OXCrossover,0.75,0.20,InsertMutation,0.05,roulette_wheel,random,0,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
1,953.68,2026-06-02 21:05:11.803851,2026-06-02 21:05:14.327296,0 days 00:00:02.523445,PMXCrossover,0.85,0.10,InsertMutation,0.01,binary_tournament,random,1,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
2,945.37,2026-06-02 21:05:14.327844,2026-06-02 21:05:16.834226,0 days 00:00:02.506382,OXCrossover,0.85,0.10,InsertMutation,0.01,binary_tournament,random,2,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
3,1096.88,2026-06-02 21:05:16.834810,2026-06-02 21:05:32.919714,0 days 00:00:16.084904,CXCrossover,0.85,0.20,InsertMutation,0.05,roulette_wheel,random,3,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
4,951.70,2026-06-02 21:05:32.920119,2026-06-02 21:05:35.597944,0 days 00:00:02.677825,OXCrossover,0.90,0.10,SwapMutation,0.01,binary_tournament,random,4,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
5,991.76,2026-06-02 21:05:35.598430,2026-06-02 21:05:52.247215,0 days 00:00:16.648785,OXCrossover,0.90,0.10,InsertMutation,0.05,roulette_wheel,random,5,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
6,974.35,2026-06-02 21:05:52.247551,2026-06-02 21:06:07.989403,0 days 00:00:15.741852,OXCrossover,0.90,0.20,SwapMutation,0.01,roulette_wheel,random,6,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
7,1002.52,2026-06-02 21:06:07.989728,2026-06-02 21:06:10.453745,0 days 00:00:02.464017,CXCrossover,0.75,0.20,SwapMutation,0.10,binary_tournament,random,7,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
8,809.09,2026-06-02 21:06:10.454452,2026-06-02 21:06:16.782468,0 days 00:00:06.328016,OXCrossover,0.85,0.10,SwapMutation,0.05,binary_tournament,bellman_split,8,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
9,1131.04,2026-06-02 21:06:16.782790,2026-06-02 21:06:33.334776,0 days 00:00:16.551986,CXCrossover,0.75,0.20,SwapMutation,0.01,roulette_wheel,bellman_split,9,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
