number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
10,784.01,2026-06-02 21:06:33.335092,2026-06-02 21:06:41.360608,0 days 00:00:08.025516,OXCrossover,0.80,0.20,SwapMutation,0.10,binary_tournament,bellman_split,10,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
11,993.04,2026-06-02 21:06:41.361101,2026-06-02 21:07:02.901026,0 days 00:00:21.539925,OXCrossover,0.90,0.10,InsertMutation,0.10,roulette_wheel,random,11,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
12,1067.79,2026-06-02 21:07:02.901412,2026-06-02 21:07:22.989757,0 days 00:00:20.088345,CXCrossover,0.75,0.10,SwapMutation,0.05,roulette_wheel,bellman_split,12,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
13,1040.65,2026-06-02 21:07:22.990114,2026-06-02 21:07:38.000126,0 days 00:00:15.010012,OXCrossover,0.85,0.20,SwapMutation,0.10,roulette_wheel,random,13,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
14,851.21,2026-06-02 21:07:38.000449,2026-06-02 21:07:56.262058,0 days 00:00:18.261609,PMXCrossover,0.90,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,14,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
15,983.50,2026-06-02 21:07:56.262357,2026-06-02 21:08:15.953026,0 days 00:00:19.690669,PMXCrossover,0.90,0.10,SwapMutation,0.01,roulette_wheel,bellman_split,15,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
16,810.59,2026-06-02 21:08:15.953400,2026-06-02 21:08:34.410890,0 days 00:00:18.457490,OXCrossover,0.85,0.20,SwapMutation,0.01,roulette_wheel,bellman_split,16,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
17,998.90,2026-06-02 21:08:34.411340,2026-06-02 21:08:50.726343,0 days 00:00:16.315003,OXCrossover,0.75,0.10,InsertMutation,0.01,roulette_wheel,random,17,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
18,988.69,2026-06-02 21:08:50.726656,2026-06-02 21:08:56.174138,0 days 00:00:05.447482,CXCrossover,0.75,0.20,InsertMutation,0.10,binary_tournament,bellman_split,18,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
19,831.69,2026-06-02 21:08:56.174452,2026-06-02 21:09:16.061462,0 days 00:00:19.887010,OXCrossover,0.80,0.10,InsertMutation,0.01,roulette_wheel,bellman_split,19,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
20,933.09,2026-06-02 21:09:16.061784,2026-06-02 21:09:31.586185,0 days 00:00:15.524401,OXCrossover,0.85,0.10,SwapMutation,0.05,roulette_wheel,random,20,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
21,824.63,2026-06-02 21:09:31.586482,2026-06-02 21:09:48.149256,0 days 00:00:16.562774,OXCrossover,0.75,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,21,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
22,822.28,2026-06-02 21:09:48.149539,2026-06-02 21:09:53.234649,0 days 00:00:05.085110,OXCrossover,0.90,0.10,SwapMutation,0.05,binary_tournament,bellman_split,22,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
23,1172.00,2026-06-02 21:09:53.234949,2026-06-02 21:09:58.141374,0 days 00:00:04.906425,CXCrossover,0.85,0.20,SwapMutation,0.01,binary_tournament,bellman_split,23,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
24,1071.59,2026-06-02 21:09:58.141654,2026-06-02 21:10:00.119815,0 days 00:00:01.978161,CXCrossover,0.75,0.10,InsertMutation,0.10,binary_tournament,random,24,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
25,1007.25,2026-06-02 21:10:00.120445,2026-06-02 21:10:16.113825,0 days 00:00:15.993380,CXCrossover,0.80,0.10,SwapMutation,0.10,roulette_wheel,bellman_split,25,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
26,1043.05,2026-06-02 21:10:16.114107,2026-06-02 21:10:20.369719,0 days 00:00:04.255612,PMXCrossover,0.75,0.20,SwapMutation,0.01,binary_tournament,bellman_split,26,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
27,1233.20,2026-06-02 21:10:20.370398,2026-06-02 21:10:25.529690,0 days 00:00:05.159292,CXCrossover,0.90,0.10,InsertMutation,0.01,binary_tournament,bellman_split,27,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
28,993.93,2026-06-02 21:10:25.529994,2026-06-02 21:10:37.987483,0 days 00:00:12.457489,OXCrossover,0.80,0.20,SwapMutation,0.10,roulette_wheel,random,28,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
29,1005.96,2026-06-02 21:10:37.987741,2026-06-02 21:10:49.570876,0 days 00:00:11.583135,PMXCrossover,0.80,0.20,SwapMutation,0.05,roulette_wheel,random,29,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
30,998.72,2026-06-02 21:10:49.571190,2026-06-02 21:11:02.498010,0 days 00:00:12.926820,CXCrossover,0.80,0.10,InsertMutation,0.10,roulette_wheel,random,30,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
31,1034.86,2026-06-02 21:11:02.498329,2026-06-02 21:11:07.588134,0 days 00:00:05.089805,CXCrossover,0.90,0.20,InsertMutation,0.05,binary_tournament,bellman_split,31,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
32,924.47,2026-06-02 21:11:07.588449,2026-06-02 21:11:21.936209,0 days 00:00:14.347760,PMXCrossover,0.75,0.20,InsertMutation,0.05,roulette_wheel,bellman_split,32,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
33,1066.46,2026-06-02 21:11:21.936519,2026-06-02 21:11:34.931854,0 days 00:00:12.995335,CXCrossover,0.90,0.10,InsertMutation,0.05,roulette_wheel,random,33,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
34,979.46,2026-06-02 21:11:34.932157,2026-06-02 21:11:47.745237,0 days 00:00:12.813080,PMXCrossover,0.75,0.10,SwapMutation,0.01,roulette_wheel,random,34,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
35,892.19,2026-06-02 21:11:47.745643,2026-06-02 21:11:52.808079,0 days 00:00:05.062436,PMXCrossover,0.90,0.10,SwapMutation,0.10,binary_tournament,bellman_split,35,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
36,1118.01,2026-06-02 21:11:52.808385,2026-06-02 21:11:54.936259,0 days 00:00:02.127874,CXCrossover,0.85,0.10,SwapMutation,0.10,binary_tournament,random,36,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
37,936.67,2026-06-02 21:11:54.936544,2026-06-02 21:11:59.184157,0 days 00:00:04.247613,PMXCrossover,0.75,0.10,InsertMutation,0.01,binary_tournament,bellman_split,37,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
38,929.22,2026-06-02 21:11:59.184474,2026-06-02 21:12:01.036579,0 days 00:00:01.852105,OXCrossover,0.75,0.10,InsertMutation,0.01,binary_tournament,random,38,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
39,1172.76,2026-06-02 21:12:01.036868,2026-06-02 21:12:02.991792,0 days 00:00:01.954924,CXCrossover,0.90,0.20,InsertMutation,0.05,binary_tournament,random,39,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
40,1154.06,2026-06-02 21:12:02.992102,2026-06-02 21:12:04.873529,0 days 00:00:01.881427,CXCrossover,0.75,0.20,InsertMutation,0.10,binary_tournament,random,40,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
41,960.00,2026-06-02 21:12:04.873818,2026-06-02 21:12:21.110198,0 days 00:00:16.236380,OXCrossover,0.80,0.10,InsertMutation,0.05,roulette_wheel,bellman_split,41,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
42,937.96,2026-06-02 21:12:21.110501,2026-06-02 21:12:36.934471,0 days 00:00:15.823970,OXCrossover,0.75,0.10,InsertMutation,0.10,roulette_wheel,bellman_split,42,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
43,1030.87,2026-06-02 21:12:36.934766,2026-06-02 21:12:49.812715,0 days 00:00:12.877949,CXCrossover,0.90,0.10,InsertMutation,0.10,roulette_wheel,random,43,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
44,975.15,2026-06-02 21:12:49.813028,2026-06-02 21:13:01.440065,0 days 00:00:11.627037,PMXCrossover,0.90,0.20,InsertMutation,0.01,roulette_wheel,random,44,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
45,835.67,2026-06-02 21:13:01.440360,2026-06-02 21:13:06.599409,0 days 00:00:05.159049,OXCrossover,0.90,0.20,SwapMutation,0.05,binary_tournament,bellman_split,45,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
46,1225.39,2026-06-02 21:13:06.599706,2026-06-02 21:13:08.421394,0 days 00:00:01.821688,CXCrossover,0.80,0.20,SwapMutation,0.01,binary_tournament,random,46,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
47,967.89,2026-06-02 21:13:08.421903,2026-06-02 21:13:21.290358,0 days 00:00:12.868455,CXCrossover,0.75,0.10,InsertMutation,0.10,roulette_wheel,random,47,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
