number,value,datetime_start,datetime_complete,duration,params_crossover_name,params_crossover_probability,params_elitism_rate,params_mutation_name,params_mutation_probability,params_selection_type,params_vehicle_construction,system_attrs_grid_id,system_attrs_search_space,state
315,25873.70,2026-06-03 04:56:38.972975,2026-06-03 04:57:53.563559,0 days 00:01:14.590584,OXCrossover,0.80,0.10,SwapMutation,0.01,roulette_wheel,bellman_split,315,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
316,28192.21,2026-06-03 04:57:53.564002,2026-06-03 04:58:29.073051,0 days 00:00:35.509049,PMXCrossover,0.85,0.10,SwapMutation,0.05,roulette_wheel,random,316,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
317,27900.46,2026-06-03 04:58:29.073375,2026-06-03 04:59:02.999689,0 days 00:00:33.926314,CXCrossover,0.85,0.20,InsertMutation,0.10,roulette_wheel,random,317,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
318,25868.24,2026-06-03 04:59:03.000013,2026-06-03 04:59:12.953411,0 days 00:00:09.953398,OXCrossover,0.75,0.20,InsertMutation,0.05,binary_tournament,random,318,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
319,25805.27,2026-06-03 04:59:12.953736,2026-06-03 04:59:20.766969,0 days 00:00:07.813233,PMXCrossover,0.90,0.20,InsertMutation,0.10,binary_tournament,random,319,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
320,23351.56,2026-06-03 04:59:20.767294,2026-06-03 05:00:40.647324,0 days 00:01:19.880030,OXCrossover,0.85,0.20,InsertMutation,0.01,roulette_wheel,bellman_split,320,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
321,26760.67,2026-06-03 05:00:40.647632,2026-06-03 05:00:46.738774,0 days 00:00:06.091142,PMXCrossover,0.90,0.20,InsertMutation,0.01,binary_tournament,random,321,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
322,29020.86,2026-06-03 05:00:46.739095,2026-06-03 05:00:55.853347,0 days 00:00:09.114252,CXCrossover,0.90,0.20,SwapMutation,0.05,binary_tournament,random,322,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
323,25356.60,2026-06-03 05:00:55.853785,2026-06-03 05:01:32.853190,0 days 00:00:36.999405,OXCrossover,0.80,0.20,SwapMutation,0.05,roulette_wheel,random,323,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
324,25439.22,2026-06-03 05:01:32.853483,2026-06-03 05:02:50.527159,0 days 00:01:17.673676,OXCrossover,0.85,0.10,SwapMutation,0.10,roulette_wheel,bellman_split,324,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
325,24376.23,2026-06-03 05:02:50.527480,2026-06-03 05:03:32.640423,0 days 00:00:42.112943,OXCrossover,0.75,0.10,InsertMutation,0.01,binary_tournament,bellman_split,325,"{'crossover_name': ['PMXCrossover', 'CXCrossover', 'OXCrossover'], 'crossover_probability': [0.75, 0.8, 0.85, 0.9], 'elitism_rate': [0.1, 0.2], 'mutation_name': ['InsertMutation', 'SwapMutation'], 'mutation_probability': [0.01, 0.05, 0.1], 'selection_type': ['binary_tournament', 'roulette_wheel'], 'vehicle_construction': ['random', 'bellman_split']}",COMPLETE
